"ApplicationID","Hired","AgeBracket","TravelPreference","HiringDepartment","DistanceFromHome","EducationLevel","EducationField","Gender","Role","Internships","StandardHours","Summary","ExtraCurriculars"
"AA941","No","Under 40","Travel_Rarely","Research & Development","2","4","Other","Male","Healthcare Representative","3","80","Hi there. I am a Other education, and wish to start my career in a corporate role in a corporate role.  So far I have completed 3 internships, and can provide references.  I am highly motivated  and I am a good match for the role.","Soccer"
"AA942","No","40 and Over","Travel_Rarely","Sales","10","4","Life Sciences","Male","Sales Executive","0","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have completed 0 internships, building work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Basketball"
"AA943","No","Under 40","Travel_Frequently","Research & Development","22","5","Medical","Male","Research Director","1","80","Hi there. I am a Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have completed 1 internships, and can provide references.  As you can see, I am highly motivated  and I hope to hear from you soon.","Hockey"
"AA944","No","Under 40","Travel_Rarely","Research & Development","28","3","Life Sciences","Male","Research Director","4","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have completed 4 internships, building valuable work experience.  As you can see, I am highly motivated  and would be a good additional at your firm.","Athletics"
"AA945","No","40 and Over","Travel_Rarely","Research & Development","10","4","Medical","Male","Healthcare Representative","3","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have already done 3 internships, and can provide references.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Debating"
"AA946","Yes","40 and Over","Travel_Rarely","Sales","7","4","Life Sciences","Male","Sales Representative","3","80","I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have done 3 internships. As you can see, I am very dedicated and I am a good match for the role.","Hockey, Rowing, Hockey"
"AA947","No","40 and Over","Travel_Rarely","Research & Development","2","1","Engineering","Male","Laboratory Technician","0","80","Recently I completed my Engineering major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have completed 0 internships. As you can see, I am very dedicated and would be a good additional at your firm.","Tennis, Basketball, Hockey"
"AA948","No","40 and Over","Travel_Rarely","Sales","7","3","Life Sciences","Female","Manager","9","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have already done 9 internships, building valuable work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Tennis, Netball, Basketball"
"AA949","No","40 and Over","Travel_Rarely","Research & Development","29","1","Life Sciences","Male","Healthcare Representative","8","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have already done 8 internships, building valuable work experience.  As you can see, I am highly motivated  and would be a good additional at your firm.","Rowing"
"AA950","Yes","40 and Over","Travel_Rarely","Sales","11","3","Medical","Male","Sales Representative","8","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done  in the corporate sector.  So far I have completed 8 internships.  As you can see, I am a hard worker  and I am a good match for the role.","Soccer"
"AA951","No","40 and Over","Travel_Rarely","Sales","9","3","Marketing","Male","Sales Executive","1","80","Recently I completed my Marketing major, with a passion to work in the corporate sector. I have done  in a corporate role.  So far I have completed 1 internships, building valuable work experience.  I am highly motivated  and would be a good additional at your firm.","Rowing, Basketball, Soccer"
"AA952","No","Under 40","Travel_Rarely","Sales","2","4","Life Sciences","Male","Manager","0","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in a corporate role.  So far I have completed 0 internships, building valuable work experience.  I am highly motivated  and I hope to hear from you soon.","Hockey"
"AA953","No","40 and Over","Travel_Frequently","Sales","2","3","Life Sciences","Male","Sales Representative","7","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 7 internships, building work experience.  I am highly motivated  and I am a good match for the role.","Soccer"
"AA954","No","40 and Over","Travel_Frequently","Research & Development","2","3","Medical","Male","Laboratory Technician","1","80","I am a Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have done 1 internships, building valuable work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Hockey"
"AA955","No","40 and Over","Travel_Rarely","Research & Development","26","1","Life Sciences","Male","Research Scientist","1","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have already done 1 internships, and can provide references.  I am highly motivated  and I am ready to start at your firm immediately.","Athletics, Rowing, Soccer, Soccer, Rowing, Football"
"AA956","No","40 and Over","Travel_Rarely","Sales","10","2","Life Sciences","Male","Sales Executive","1","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 1 internships, building valuable work experience.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Tennis"
"AA957","No","40 and Over","Travel_Rarely","Research & Development","8","1","Life Sciences","Male","Laboratory Technician","1","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in a corporate role.  I have done 1 internships, building work experience.  As you can see, I am a hard worker  and would be a good additional at your firm.","Soccer, Football, Debating"
"AA958","No","40 and Over","Travel_Frequently","Research & Development","6","4","Life Sciences","Male","Manufacturing Director","2","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have already done 2 internships, and can provide references.  As you can see, I am a hard worker  and I hope to hear from you soon.","Football"
"AA959","No","40 and Over","Travel_Rarely","Sales","22","1","Engineering","Male","Sales Representative","1","80","Hi there. I am a Engineering education, and wish to start my career in a corporate roleworking for you in this role.  I have already done 1 internships, and can provide references.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Hockey"
"AA960","No","40 and Over","Travel_Rarely","Research & Development","5","4","Life Sciences","Male","Research Scientist","1","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have already done 1 internships.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Basketball"
"AA961","Yes","40 and Over","Travel_Rarely","Research & Development","8","3","Medical","Male","Laboratory Technician","2","80","Hi there. I am a Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 2 internships.  As you can see, I am a hard worker  and I hope to hear from you soon.","Football, Hockey, Soccer"
"AA962","No","40 and Over","Travel_Rarely","Research & Development","27","1","Medical","Male","Research Scientist","1","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 1 internships.  I am very dedicated  and I am ready to start at your firm immediately.","Basketball"
"AA963","No","40 and Over","Non-Travel","Sales","1","5","Medical","Female","Sales Executive","4","80","Hi there. I am a Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have completed 4 internships.  I am a hard worker  and would be a good additional at your firm.","Softball"
"AA964","No","40 and Over","Travel_Rarely","Sales","4","2","Life Sciences","Male","Sales Representative","2","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  Already I have done 2 internships. As you can see, I am very dedicated and I am a good match for the role.","Rowing, Football, Rowing"
"AA965","No","Under 40","Travel_Rarely","Research & Development","4","4","Life Sciences","Male","Research Scientist","9","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  Already I have done 9 internships, building valuable work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Soccer"
"AA966","Yes","Under 40","Travel_Rarely","Human Resources","5","3","Life Sciences","Male","Manager","1","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a corporate role.  Already I have done 1 internships, building work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Debating"
"AA967","No","40 and Over","Travel_Rarely","Research & Development","11","1","Life Sciences","Male","Laboratory Technician","0","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 0 internships.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Debating"
"AA968","Yes","40 and Over","Travel_Rarely","Research & Development","6","4","Other","Male","Research Scientist","1","80","Hi there. I am applying for a role after completing my Other education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 1 internships, building valuable work experience.  I am very dedicated  and I hope to hear from you soon.","Debating"
"AA969","No","40 and Over","Non-Travel","Research & Development","3","3","Life Sciences","Male","Laboratory Technician","4","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have completed 4 internships, and can provide references.  As you can see, I am a hard worker  and I hope to hear from you soon.","Football"
"AA970","No","Under 40","Travel_Rarely","Research & Development","4","1","Medical","Male","Manager","1","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  Already I have done 1 internships, and can provide references.  As you can see, I am a hard worker  and would be a good additional at your firm.","Football"
"AA971","No","40 and Over","Travel_Frequently","Research & Development","23","3","Life Sciences","Male","Research Scientist","1","80","I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  So far I have completed 1 internships, and can provide references.  As you can see, I am highly motivated  and I am a good match for the role.","Football, Rowing, Football, Soccer, Hockey, Tennis"
"AA972","No","40 and Over","Travel_Rarely","Research & Development","13","1","Life Sciences","Male","Research Scientist","3","80","I am a Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  I have completed 3 internships, and can provide references. As you can see, I am very dedicated and would be a good additional at your firm.","Athletics"
"AA973","No","40 and Over","Travel_Rarely","Research & Development","9","2","Life Sciences","Male","Research Scientist","2","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have completed 2 internships, building work experience.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Debating"
"AA974","No","40 and Over","Travel_Rarely","Research & Development","2","1","Engineering","Male","Laboratory Technician","0","80","I am a Engineering major, with a passion to work in the corporate sector. I have done working for you in this role.  Already I have done 0 internships, building valuable work experience.  I am a hard worker  and I hope to hear from you soon.","Soccer, Football, Hockey, Hockey, Rowing, Athletics"
"AA975","No","40 and Over","Travel_Rarely","Research & Development","11","3","Medical","Male","Laboratory Technician","4","80","Hi there. I am a Medical education, and wish to start my career in a corporate role working for your company.  I have already done 4 internships, building valuable work experience.  I am a hard worker  and would be a good additional at your firm.","Tennis"
"AA976","No","Under 40","Travel_Rarely","Research & Development","10","3","Medical","Male","Manufacturing Director","6","80","I am a Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  I have already done 6 internships, building valuable work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Soccer"
"AA977","No","40 and Over","Travel_Rarely","Human Resources","8","3","Life Sciences","Male","Human Resources","0","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  I have already done 0 internships, building valuable work experience.  I am a hard worker  and I am a good match for the role.","Tennis"
"AA978","No","Under 40","Travel_Rarely","Research & Development","7","2","Medical","Male","Research Director","5","80","I am a Medical education, and wish to start my career in a corporate role working for your company.  I have completed 5 internships, building work experience.  I am a hard worker  and I hope to hear from you soon.","Debating, Athletics, Soccer"
"AA979","No","40 and Over","Travel_Rarely","Research & Development","14","3","Medical","Male","Research Scientist","1","80","Hi there. I am a Medical education, and wish to start my career in a corporate role in a corporate role.  I have completed 1 internships, building valuable work experience.  I am a hard worker  and I am ready to start at your firm immediately.","Rowing"
"AA980","No","Under 40","Travel_Rarely","Sales","24","4","Life Sciences","Male","Sales Executive","6","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  Already I have done 6 internships. As you can see, I am very dedicated and would be a good additional at your firm.","Football"
"AA981","No","40 and Over","Travel_Rarely","Human Resources","2","3","Human Resources","Male","Human Resources","3","80","Recently I completed my Human Resources major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have already done 3 internships, and can provide references.  I am highly motivated  and I am a good match for the role.","Basketball"
"AA982","No","40 and Over","Travel_Rarely","Research & Development","4","3","Life Sciences","Male","Research Scientist","1","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  Already I have done 1 internships, and can provide references. As you can see, I am very dedicated and I hope to hear from you soon.","Debating"
"AA983","No","40 and Over","Travel_Rarely","Research & Development","3","3","Other","Male","Healthcare Representative","3","80","Hi there. I am a Other major, with a passion to work in the corporate sector. I have done  working for your company.  I have done 3 internships.  I am very dedicated  and I am a good match for the role.","Athletics"
"AA984","No","40 and Over","Travel_Rarely","Sales","1","3","Life Sciences","Female","Sales Executive","8","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 8 internships, building valuable work experience. As you can see, I am very dedicated and I am a good match for the role.","Tennis"
"AA985","No","40 and Over","Travel_Rarely","Research & Development","2","4","Medical","Male","Research Scientist","1","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 1 internships, and can provide references.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Basketball"
"AA986","Yes","Under 40","Travel_Rarely","Research & Development","8","3","Life Sciences","Male","Laboratory Technician","4","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have done 4 internships, building work experience.  I am very dedicated  and I hope to hear from you soon.","Debating, Athletics, Tennis"
"AA987","No","40 and Over","Travel_Frequently","Research & Development","10","2","Life Sciences","Male","Manufacturing Director","1","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  Already I have done 1 internships, building work experience.  I am highly motivated  and I am a good match for the role.","Hockey"
"AA988","No","Under 40","Travel_Frequently","Research & Development","10","4","Life Sciences","Male","Laboratory Technician","0","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  I have already done 0 internships, building valuable work experience.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Debating"
"AA989","No","40 and Over","Travel_Rarely","Research & Development","14","3","Medical","Male","Laboratory Technician","5","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  Already I have done 5 internships, building work experience.  I am a hard worker  and I am ready to start at your firm immediately.","Tennis, Football, Tennis"
"AA990","Yes","Under 40","Travel_Rarely","Research & Development","4","4","Engineering","Male","Manager","4","80","I am a Engineering major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have already done 4 internships, and can provide references.  As you can see, I am a hard worker  and I am a good match for the role.","Tennis"
"AA991","No","Under 40","Travel_Rarely","Sales","11","3","Marketing","Male","Sales Executive","1","80","Recently I completed my Marketing education, and wish to start my career in a corporate roleworking for you in this role.  Already I have done 1 internships.  As you can see, I am a hard worker  and I hope to hear from you soon.","Tennis"
"AA992","No","40 and Over","Travel_Rarely","Research & Development","9","1","Life Sciences","Male","Manufacturing Director","1","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  Already I have done 1 internships.  I am a hard worker  and I am a good match for the role.","Football, Hockey, Football, Debating, Basketball, Rowing"
"AA993","No","Under 40","Travel_Rarely","Research & Development","9","2","Life Sciences","Male","Research Scientist","1","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  I have completed 1 internships, and can provide references. As you can see, I am very dedicated and I hope to hear from you soon.","Basketball"
"AA994","No","Under 40","Travel_Frequently","Research & Development","9","3","Medical","Male","Research Scientist","2","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  So far I have completed 2 internships, building valuable work experience. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Football"
"AA995","No","40 and Over","Travel_Rarely","Research & Development","2","4","Life Sciences","Male","Laboratory Technician","2","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have done 2 internships.  I am highly motivated  and I am ready to start at your firm immediately.","Tennis"
"AA996","No","40 and Over","Travel_Rarely","Research & Development","1","3","Medical","Male","Manufacturing Director","1","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  Already I have done 1 internships, building valuable work experience. As you can see, I am very dedicated and I hope to hear from you soon.","Tennis"
"AA997","No","40 and Over","Travel_Frequently","Research & Development","2","4","Life Sciences","Male","Manufacturing Director","6","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have completed 6 internships.  As you can see, I am highly motivated  and would be a good additional at your firm.","Debating"
"AA998","No","40 and Over","Travel_Rarely","Research & Development","2","1","Medical","Male","Healthcare Representative","5","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have completed 5 internships, building work experience. As you can see, I am very dedicated and I hope to hear from you soon.","Football, Athletics, Hockey"
"AA999","No","40 and Over","Travel_Frequently","Research & Development","4","3","Engineering","Male","Research Scientist","9","80","Hi there. I am applying for a role after completing my Engineering education, and wish to start my career in a corporate role working for your company.  I have already done 9 internships, and can provide references.  I am a hard worker  and I am ready to start at your firm immediately.","Hockey"
"AA1000","No","Under 40","Travel_Rarely","Sales","8","3","Marketing","Male","Sales Executive","5","80","Recently I completed my Marketing major, with a passion to work in the corporate sector. I have done  in the corporate sector.  So far I have completed 5 internships. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Soccer"
"AA1001","No","Under 40","Travel_Rarely","Research & Development","10","3","Medical","Male","Manufacturing Director","6","80","I am a Medical major, with a passion to work in the corporate sector. I have done  working for your company.  So far I have completed 6 internships. As you can see, I am very dedicated and I hope to hear from you soon.","Hockey"
"AA1002","No","40 and Over","Travel_Frequently","Research & Development","2","4","Engineering","Male","Healthcare Representative","0","80","I am a Engineering education, and wish to start my career in a corporate role working for your company.  I have already done 0 internships, building work experience.  As you can see, I am highly motivated  and would be a good additional at your firm.","Debating"
"AA1003","No","Under 40","Travel_Rarely","Research & Development","2","3","Life Sciences","Male","Manager","2","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 2 internships, building work experience.  I am very dedicated  and I hope to hear from you soon.","Hockey"
"AA1004","No","Under 40","Travel_Frequently","Human Resources","1","5","Human Resources","Male","Human Resources","4","80","I am a Human Resources major, with a passion to work in the corporate sector. I have done  in the corporate sector.  So far I have completed 4 internships, building valuable work experience. As you can see, I am very dedicated and I hope to hear from you soon.","Debating"
"AA1005","No","40 and Over","Non-Travel","Research & Development","8","4","Life Sciences","Male","Healthcare Representative","1","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 1 internships, and can provide references.  I am very dedicated  and I hope to hear from you soon.","Rowing"
"AA1006","No","40 and Over","Travel_Rarely","Research & Development","20","1","Life Sciences","Male","Laboratory Technician","0","80","I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have already done 0 internships, building valuable work experience.  As you can see, I am a hard worker  and I am a good match for the role.","Football"
"AA1007","No","40 and Over","Travel_Rarely","Research & Development","9","4","Life Sciences","Male","Research Scientist","0","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 0 internships.  I am very dedicated  and I am ready to start at your firm immediately.","Basketball"
"AA1008","No","Under 40","Travel_Rarely","Sales","2","3","Medical","Female","Sales Executive","1","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 1 internships, building work experience.  I am highly motivated  and I am a good match for the role.","Soccer"
"AA1009","No","40 and Over","Travel_Rarely","Research & Development","1","2","Medical","Male","Manufacturing Director","1","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have done 1 internships, building work experience.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Football"
"AA1010","No","40 and Over","Travel_Frequently","Research & Development","6","4","Life Sciences","Male","Laboratory Technician","3","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  I have done 3 internships. As you can see, I am very dedicated and I hope to hear from you soon.","Debating"
"AA1011","No","Under 40","Travel_Rarely","Research & Development","25","4","Life Sciences","Male","Laboratory Technician","1","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in a corporate role.  Already I have done 1 internships, building work experience.  I am a hard worker  and I am a good match for the role.","Rowing, Hockey, Football"
"AA1012","Yes","40 and Over","Non-Travel","Research & Development","2","2","Life Sciences","Male","Healthcare Representative","5","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 5 internships, and can provide references.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Football"
"AA1013","No","40 and Over","Travel_Rarely","Research & Development","1","4","Other","Male","Research Scientist","1","80","I am a Other major, with a passion to work in the corporate sector. I have done working for you in this role.  I have already done 1 internships.  I am very dedicated  and I hope to hear from you soon.","Debating, Athletics, Soccer, Football, Hockey, Basketball"
"AA1014","No","40 and Over","Travel_Frequently","Research & Development","29","2","Medical","Male","Laboratory Technician","0","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 0 internships, building valuable work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Debating, Soccer, Rowing, Football, Tennis, Basketball"
"AA1015","Yes","40 and Over","Travel_Frequently","Sales","26","4","Marketing","Male","Sales Executive","5","80","Hi there. I am a Marketing education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 5 internships, building valuable work experience.  As you can see, I am a hard worker  and I hope to hear from you soon.","Basketball"
"AA1016","No","40 and Over","Travel_Frequently","Research & Development","2","1","Engineering","Male","Research Scientist","1","80","I am a Engineering education, and wish to start my career in a corporate role in a corporate role.  I have completed 1 internships.  I am a hard worker  and would be a good additional at your firm.","Basketball"
"AA1017","No","40 and Over","Travel_Rarely","Research & Development","15","2","Life Sciences","Male","Laboratory Technician","1","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  So far I have completed 1 internships.  I am highly motivated  and I hope to hear from you soon.","Debating"
"AA1018","No","Under 40","Travel_Rarely","Human Resources","10","3","Human Resources","Male","Manager","0","80","Recently I completed my Human Resources education, and wish to start my career in a corporate role working for your company.  I have completed 0 internships, building valuable work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Soccer"
"AA1019","Yes","40 and Over","Travel_Rarely","Research & Development","2","3","Medical","Male","Manufacturing Director","5","80","Hi there. I am a Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have done 5 internships, and can provide references.  As you can see, I am a hard worker  and I hope to hear from you soon.","Athletics, Rowing, Basketball"
"AA1020","Yes","40 and Over","Travel_Rarely","Research & Development","7","3","Life Sciences","Male","Laboratory Technician","3","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role working for your company.  I have already done 3 internships, building work experience. As you can see, I am very dedicated and I am a good match for the role.","Soccer"
"AA1021","No","40 and Over","Travel_Frequently","Sales","1","3","Life Sciences","Male","Sales Executive","2","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 2 internships, and can provide references.  I am very dedicated  and would be a good additional at your firm.","Soccer"
"AA1022","No","40 and Over","Travel_Rarely","Research & Development","8","4","Other","Male","Laboratory Technician","1","80","Hi there. I am applying for a role after completing my Other education, and wish to start my career in a corporate role in a corporate role.  I have already done 1 internships, building work experience.  I am a hard worker  and I hope to hear from you soon.","Hockey"
"AA1023","No","Under 40","Travel_Rarely","Research & Development","7","4","Life Sciences","Male","Healthcare Representative","7","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  Already I have done 7 internships, building valuable work experience.  I am a hard worker  and I am a good match for the role.","Debating"
"AA1024","Yes","Under 40","Travel_Frequently","Research & Development","11","4","Medical","Male","Manager","3","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done  in the corporate sector.  So far I have completed 3 internships.  As you can see, I am a hard worker  and I am a good match for the role.","Football"
"AA1025","No","40 and Over","Travel_Rarely","Research & Development","11","1","Life Sciences","Male","Laboratory Technician","0","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  Already I have done 0 internships.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Rowing"
"AA1026","No","40 and Over","Travel_Rarely","Sales","28","3","Life Sciences","Male","Sales Executive","2","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  Already I have done 2 internships, and can provide references.  I am very dedicated  and I hope to hear from you soon.","Athletics"
"AA1027","No","40 and Over","Travel_Rarely","Research & Development","29","1","Medical","Male","Laboratory Technician","1","80","I am a Medical education, and wish to start my career in a corporate role working for your company.  Already I have done 1 internships, building work experience. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Athletics"
"AA1028","Yes","40 and Over","Travel_Rarely","Research & Development","10","3","Life Sciences","Male","Healthcare Representative","7","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  I have done 7 internships, building work experience.  I am highly motivated  and would be a good additional at your firm.","Athletics"
"AA1029","No","40 and Over","Non-Travel","Research & Development","8","1","Medical","Male","Research Director","2","80","I am a Medical education, and wish to start my career in a corporate role working for your company.  I have completed 2 internships, building valuable work experience.  As you can see, I am a hard worker  and would be a good additional at your firm.","Debating, Tennis, Debating, Basketball, Debating, Football"
"AA1030","No","Under 40","Travel_Rarely","Research & Development","8","3","Life Sciences","Male","Research Scientist","4","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have already done 4 internships, building valuable work experience.  I am very dedicated  and would be a good additional at your firm.",""
"AA1031","No","Under 40","Travel_Rarely","Research & Development","8","4","Life Sciences","Male","Laboratory Technician","7","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in a corporate role.  I have done 7 internships, and can provide references.  As you can see, I am highly motivated  and I am a good match for the role.","Soccer"
"AA1032","No","40 and Over","Travel_Rarely","Research & Development","18","2","Life Sciences","Male","Manufacturing Director","0","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have completed 0 internships. As you can see, I am very dedicated and would be a good additional at your firm.","Football"
"AA1033","Yes","40 and Over","Travel_Rarely","Human Resources","17","3","Other","Male","Human Resources","1","80","Hi there. I am a Other education, and wish to start my career in a corporate role working for your company.  I have completed 1 internships, and can provide references.  I am very dedicated  and I am ready to start at your firm immediately.","Hockey"
"AA1034","No","Under 40","Travel_Rarely","Research & Development","8","4","Life Sciences","Male","Research Director","5","80","I am a Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  Already I have done 5 internships.  I am highly motivated  and I am ready to start at your firm immediately.","Football"
"AA1035","No","40 and Over","Travel_Rarely","Research & Development","9","2","Life Sciences","Male","Research Scientist","1","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have completed 1 internships, building work experience. As you can see, I am very dedicated and I am a good match for the role.","Athletics"
"AA1036","No","40 and Over","Travel_Rarely","Research & Development","9","3","Medical","Male","Research Scientist","0","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have completed 0 internships, building valuable work experience.  I am very dedicated  and would be a good additional at your firm.","Hockey"
"AA1037","No","40 and Over","Non-Travel","Sales","21","4","Life Sciences","Male","Sales Executive","6","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have already done 6 internships.  I am highly motivated  and would be a good additional at your firm.","Hockey"
"AA1038","No","Under 40","Travel_Rarely","Research & Development","1","4","Medical","Female","Research Director","9","80","Recently I completed my Medical education, and wish to start my career in a corporate role in a corporate role.  I have done 9 internships. As you can see, I am very dedicated and I hope to hear from you soon.","Netball, Netball, Basketball, Athletics, Basketball, Netball"
"AA1039","No","40 and Over","Travel_Rarely","Sales","3","3","Medical","Male","Sales Representative","1","80","Hi there. I am a Medical education, and wish to start my career in a corporate role working for your company.  I have completed 1 internships, building valuable work experience.  As you can see, I am highly motivated  and I am a good match for the role.","Athletics"
"AA1040","No","Under 40","Travel_Rarely","Research & Development","2","3","Medical","Male","Research Director","5","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  So far I have completed 5 internships, building valuable work experience.  I am a hard worker  and would be a good additional at your firm.","Basketball"
