"clue","answer","pg"
"Taft was the first president to get up and stretch during this inning of a ball game","the seventh inning","http://www.j-archive.com/suggestcorrection.php?clue_id=321635"
"Title of Katharine Lee Bates poem which begins O beautiful, for spacious skies","""America The Beautiful""","http://www.j-archive.com/suggestcorrection.php?clue_id=320573"
"A musical symbol, or a short informal letter","a note","http://www.j-archive.com/suggestcorrection.php?clue_id=321638"
"Those who are penny-wise may be this foolish","a pound","http://www.j-archive.com/suggestcorrection.php?clue_id=321643"
"Last Chance Gulch is now the main street of its capital, Helena","Montana","http://www.j-archive.com/suggestcorrection.php?clue_id=321647"
"Straw Boss said Bless my soul when Tennessee Ernie mined this much coal","""Sixteen Tons""","http://www.j-archive.com/suggestcorrection.php?clue_id=321636"
"His poems were the catalyst for Cats","T.S. Eliot","http://www.j-archive.com/suggestcorrection.php?clue_id=321630"
"Music City, U.S.A.","Nashville, Tennessee","http://www.j-archive.com/suggestcorrection.php?clue_id=321639"
"100 Russian kopecks equals this","a ruble","http://www.j-archive.com/suggestcorrection.php?clue_id=321644"
"Only U.S. railroad owned and operated by Federal gov't. is found entirely within this sizeable state","Alaska","http://www.j-archive.com/suggestcorrection.php?clue_id=321676"
"Biblical Psalm that begins The Lord is my shepherd","the 23rd Psalm","http://www.j-archive.com/suggestcorrection.php?clue_id=321637"
"Completes He started to sing as he tackled the thing that couldn't be done...","""And he did it.""","http://www.j-archive.com/suggestcorrection.php?clue_id=321631"
"British national anthem whose melody is used for My Country 'Tis Of Thee","""God Save The Queen""","http://www.j-archive.com/suggestcorrection.php?clue_id=321640"
"He was on the dime immediately before FDR","Mercury","http://www.j-archive.com/suggestcorrection.php?clue_id=321645"
"First state to forbid slavery & guarantee universal male suffrage & public education to all","Vermont","http://www.j-archive.com/suggestcorrection.php?clue_id=321677"
"The Henry who defeated Richard III at Bosworth Field & established Tudor dynasty","Henry VII","http://www.j-archive.com/suggestcorrection.php?clue_id=321679"
"He wrote There was a little girl, she had a little curl & The Wreck of the Hesperus, too","(Henry Wadsworth) Longfellow","http://www.j-archive.com/suggestcorrection.php?clue_id=321632"
"What A.S.C.A.P. stands for","the American Society of Composers, Authors and Publishers","http://www.j-archive.com/suggestcorrection.php?clue_id=321641"
"This note is the highest denomination in circulation in the U.S.","the $10,000 bill","http://www.j-archive.com/suggestcorrection.php?clue_id=321646"
"During the Civil War, this Midwest state sent proportionally the most men into the Union Army","Kansas","http://www.j-archive.com/suggestcorrection.php?clue_id=321678"
"The Astors & the Vanderbilts led this list of 1880's New York elite","the 400","http://www.j-archive.com/suggestcorrection.php?clue_id=321680"
"Valiant & bold & unaccustomed to fear was this son of the prophet","Abdullah Bulbul Amir","http://www.j-archive.com/suggestcorrection.php?clue_id=321633"
"A funny thing happened to this songwriter on his way to the Forum","Stephen Sondheim","http://www.j-archive.com/suggestcorrection.php?clue_id=321642"
"Charles Pinckney urged Millions for defense, but not a damned penny for this","tribute","http://www.j-archive.com/suggestcorrection.php?clue_id=321681"
"State whose license plate reads Land of 10,000 Lakes","Minnesota","http://www.j-archive.com/suggestcorrection.php?clue_id=260791"
"By wearing 1 instead of 2, Michael Jackson made it his landmark","glove","http://www.j-archive.com/suggestcorrection.php?clue_id=260796"
"From French solider Nicolas Chauvin, who was steadfastly, loyal to Napoleon","chauvinism","http://www.j-archive.com/suggestcorrection.php?clue_id=260808"
"A baker's dozen","13","http://www.j-archive.com/suggestcorrection.php?clue_id=260801"
"He was both the host & voice of Howdy Doody","Bob Smith","http://www.j-archive.com/suggestcorrection.php?clue_id=260803"
"Indian name for sleepy ones, 95% of this Corn State is farmland","Iowa","http://www.j-archive.com/suggestcorrection.php?clue_id=260792"
"Cher, Liz Taylor, & Boy George all switched to this hair color last summer","blonde","http://www.j-archive.com/suggestcorrection.php?clue_id=260797"
"Biblical term for the thyroid cartilage that bulges in the throat","Adam's apple","http://www.j-archive.com/suggestcorrection.php?clue_id=260809"
"Weighing device used by justice & supermarket cashiers","scales","http://www.j-archive.com/suggestcorrection.php?clue_id=260802"
"His voice sounded like this","Clara Bell","http://www.j-archive.com/suggestcorrection.php?clue_id=260804"
"Only temperate zone rain forest in the U.S. is on this state's Olympic peninsula","Washington","http://www.j-archive.com/suggestcorrection.php?clue_id=260793"
"Current princess of Monaco who dropped Jean-Paul Belmondo's son for Alain Delon's","Princess Stephanie","http://www.j-archive.com/suggestcorrection.php?clue_id=260798"
"The tailor struck blind for having looked at Lady Godiva was 1st one of these","peeping Tom","http://www.j-archive.com/suggestcorrection.php?clue_id=260810"
"Cups of butter in a pound","2","http://www.j-archive.com/suggestcorrection.php?clue_id=260813"
"Original number of Howdy's freckles, they equaled the number of U.S. states","48","http://www.j-archive.com/suggestcorrection.php?clue_id=260805"
"The only leper colony in the U.S. is on an island in this state","Hawaii","http://www.j-archive.com/suggestcorrection.php?clue_id=260794"
"Georgia couple who spent their vacation renovating a N.Y. Lower East Side slum building","Former President (Jimmy) and Mrs. (Rosalynn) Carter","http://www.j-archive.com/suggestcorrection.php?clue_id=260799"
"From Greek kurpos, meaning Cyprus, which was an ancient source of this metal","copper","http://www.j-archive.com/suggestcorrection.php?clue_id=260811"
"From Latin uncia, measurement taken from the width of a thumb","inch","http://www.j-archive.com/suggestcorrection.php?clue_id=260814"
"Last name of triplets Don Jose, Hector Hamhock & Phineas T.","Bluster","http://www.j-archive.com/suggestcorrection.php?clue_id=260806"
"These 2 states are Cajun Country","Louisiana and Texas","http://www.j-archive.com/suggestcorrection.php?clue_id=260795"
"Mr. Showmanship whose Vegas museum's holdings include a $60,000 replica of George V's coronation robe","Liberace","http://www.j-archive.com/suggestcorrection.php?clue_id=260800"
"Term for total chaos derived from English asylum of St. Mary of Bethlehem","bedlam","http://www.j-archive.com/suggestcorrection.php?clue_id=260812"
"Number of feet in a fathom","6","http://www.j-archive.com/suggestcorrection.php?clue_id=260815"
"Creature made up from parts of 8 different animals","Flubadub","http://www.j-archive.com/suggestcorrection.php?clue_id=260807"
"Mt. Logan was thought the highest on this continent till someone measured Mt. McKinley","North America","http://www.j-archive.com/suggestcorrection.php?clue_id=260816"
"Members of all nationalities except French can join this fighting force","Foreign Legion","http://www.j-archive.com/suggestcorrection.php?clue_id=260821"
"Comedienne who penned The Life & Hard Times of her best friend Heidi Abromowitz","Joan Rivers","http://www.j-archive.com/suggestcorrection.php?clue_id=260823"
"Common gas represented by the formula CO2","Carbon dioxide","http://www.j-archive.com/suggestcorrection.php?clue_id=260828"
"Maximinus Thrax, Marcus Aurelius, & Hadrian all held this ancient top post","(Roman) emperor","http://www.j-archive.com/suggestcorrection.php?clue_id=260833"
"In Rossini's opera, she's recognized by a bracelet, not a glass slipper","Cinderella","http://www.j-archive.com/suggestcorrection.php?clue_id=260836"
"Different surveys have reported its height as 29,002, 29,141 and 29,028 feet","Mount Everest","http://www.j-archive.com/suggestcorrection.php?clue_id=260817"
"Name of the air arm of the German military","Luftwaffe","http://www.j-archive.com/suggestcorrection.php?clue_id=260822"
"Originally in Dutch, Het Achterhus, this Diary of a Young Girl is best known by its play title","The Diary of Anne Frank","http://www.j-archive.com/suggestcorrection.php?clue_id=260824"
"In magnetism, like poles do this","repel","http://www.j-archive.com/suggestcorrection.php?clue_id=260829"
"Some walk a mile, but Rodrigo de Jerez sailed the Atlantic in 1492 & became first European to do this","smoke tobacco","http://www.j-archive.com/suggestcorrection.php?clue_id=260834"
"Mozart's opera about a wonderful woodwind","the Magic Flute","http://www.j-archive.com/suggestcorrection.php?clue_id=260837"
"A mountain chain in the Sahara bears the name of this mythical man who bears the world","Atlas","http://www.j-archive.com/suggestcorrection.php?clue_id=260818"
"Judith Guest's first novel that was made into 1980's extraordinary Oscar-winner","Ordinary People","http://www.j-archive.com/suggestcorrection.php?clue_id=260825"
"Measuring system established in France in 1790, called originally Systeme Internationale","metric system","http://www.j-archive.com/suggestcorrection.php?clue_id=260830"
"In 1902, what you would have seen if someone showed you a dreadnought","battleship","http://www.j-archive.com/suggestcorrection.php?clue_id=260835"
"Gounod had him tempt Faust in the form of Mephistopheles","the Devil","http://www.j-archive.com/suggestcorrection.php?clue_id=260838"
"The Las Campanas observatory in CHile was built to supplement findings of this California observatory","Mount Wilson","http://www.j-archive.com/suggestcorrection.php?clue_id=260819"
"After pulling several rabbits from his hat, he made The Witches of Eastwick materialize","John Updike","http://www.j-archive.com/suggestcorrection.php?clue_id=260826"
"Over three-fourths of the elements fall into this category","metallic","http://www.j-archive.com/suggestcorrection.php?clue_id=260831"
"Declaring the world owes me what I need, he bathed in incense, dressed only in silk & wrote the Ring Cycle","Wagner","http://www.j-archive.com/suggestcorrection.php?clue_id=260839"
"The most famous peak of the Apennines in Italy","Mount Vesuvius","http://www.j-archive.com/suggestcorrection.php?clue_id=260820"
"Scott Joplin wrote ragtime music, but this guy wrote the book","E. L. Doctrow","http://www.j-archive.com/suggestcorrection.php?clue_id=260827"
"The science of sound","acoustics","http://www.j-archive.com/suggestcorrection.php?clue_id=260832"
"Italian composer of Aida whose name in English is Joe Green","Giuseppe Verdi","http://www.j-archive.com/suggestcorrection.php?clue_id=260840"
"1st Tuesday after the 1st Monday in November","Election Day","http://www.j-archive.com/suggestcorrection.php?clue_id=20419"
"The Atlanta Braves are in this division of the National League","the Western division","http://www.j-archive.com/suggestcorrection.php?clue_id=20424"
"Eliza Doolittle did it for a living","sold flowers (flower girl accepted)","http://www.j-archive.com/suggestcorrection.php?clue_id=20433"
"Subtitled The Search for Spock","<i>Star Trek III</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20429"
"1 of 2 animals on its coat of arms","(1 of) kangaroo and emu","http://www.j-archive.com/suggestcorrection.php?clue_id=20439"
"Malcolm McDowell & Nastassja Kinski's purrfect roles in 1982","cat people","http://www.j-archive.com/suggestcorrection.php?clue_id=20431"
"Traditionally speaking, as this state goes, so goes the nation","Maine","http://www.j-archive.com/suggestcorrection.php?clue_id=20420"
"Eddie Gaedel, number 1/8th, was the only one ever to play in the Major Leagues","a midget","http://www.j-archive.com/suggestcorrection.php?clue_id=20425"
"In the Old West they were in charge of horses, on a movie set in charge of chickens","wranglers","http://www.j-archive.com/suggestcorrection.php?clue_id=20434"
"Title describing Tom Cruise's precarious commercial enterprise","<i>Risky Business</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20430"
"Title of this song, which actually means to tramp the roads with a backpack","""Waltzing Matilda""","http://www.j-archive.com/suggestcorrection.php?clue_id=20440"
"Ancient weapon kept a stone's throw from its target","a catapult","http://www.j-archive.com/suggestcorrection.php?clue_id=20432"
"Shrill name for train tour electioneering","a whistle stop","http://www.j-archive.com/suggestcorrection.php?clue_id=20421"
"Now a paper company sales rep, he pitched only perfect game in World Series history","Don Larsen","http://www.j-archive.com/suggestcorrection.php?clue_id=20426"
"He solemnly swears you in, in court","a bailiff","http://www.j-archive.com/suggestcorrection.php?clue_id=20435"
"Film where Lily Tomlin is really Steve Martin's better half","<i>All of Me</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20437"
"Satanic mammal found only on island S. of Australia","Tasmanian devil","http://www.j-archive.com/suggestcorrection.php?clue_id=20441"
"It gets things going in a chemical reaction","a catalyst","http://www.j-archive.com/suggestcorrection.php?clue_id=20442"
"The rooster was symbol of this party before Thomas Nast drew their new one in 1870","the Democrats","http://www.j-archive.com/suggestcorrection.php?clue_id=20422"
"Boston's Green Monster is in this stadium","Fenway Park","http://www.j-archive.com/suggestcorrection.php?clue_id=20427"
"Ub Iwerks, Friz Freleng & Tex Avery drew the line at this job","cartoonists (or animators)","http://www.j-archive.com/suggestcorrection.php?clue_id=20436"
"Mozart's middle name becomes a movie","<i>Amadeus</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20438"
"Elizabeth Taylor character that could have burnt her paws on a hot tin roof","Maggie the Cat","http://www.j-archive.com/suggestcorrection.php?clue_id=20443"
"He called himself the plain people's pres. against the privileged people's Congress","Harry S. Truman","http://www.j-archive.com/suggestcorrection.php?clue_id=20423"
"In '84, he became 1st manager to win over 100 games with teams in both Major Leagues","Sparky Anderson","http://www.j-archive.com/suggestcorrection.php?clue_id=20428"
"During one in a hospital, your brain should think cheese","a CAT scan","http://www.j-archive.com/suggestcorrection.php?clue_id=20444"
"According to both Burns & Steinbeck, their best laid schemes gang aft a-gley","mice and men","http://www.j-archive.com/suggestcorrection.php?clue_id=20445"
"Body of water, currently crossed by the 1831 London Bridge","Lake Havasu","http://www.j-archive.com/suggestcorrection.php?clue_id=20447"
"It's where the leg bone's connected to the foot bone","the ankle","http://www.j-archive.com/suggestcorrection.php?clue_id=25557"
"Metallic element essential for strong bones & teeth","calcium","http://www.j-archive.com/suggestcorrection.php?clue_id=25562"
"From Turkish meaning lighthouse, it's a slender, lofty tower attached to a mosque","minaret","http://www.j-archive.com/suggestcorrection.php?clue_id=25565"
"In 1671, Milton wrote Paradise Regained, a sequel to this","<i>Paradise Lost</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=20446"
"Turin is the only major city on both banks of this river","the Po River","http://www.j-archive.com/suggestcorrection.php?clue_id=20448"
"Moveable part of airplane wing providing lateral control","an aileron","http://www.j-archive.com/suggestcorrection.php?clue_id=25558"
"Simon Rodia built these fairy-tale structures in a South L.A. ghetto","the Watts towers","http://www.j-archive.com/suggestcorrection.php?clue_id=25566"
"English title of 7-part novel A la recherche du temps perdu by Proust","<i>Remembrance of Things Past</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=25553"
"This lake in the Banff National Park is the most visited place in the Canadian Rockies","Lake Louise","http://www.j-archive.com/suggestcorrection.php?clue_id=20449"
"A result or consequence, or immediately following multiplication","aftermath","http://www.j-archive.com/suggestcorrection.php?clue_id=25559"
"Flying buttresses & ribbed vaults characterize this 13 c. style","Gothic","http://www.j-archive.com/suggestcorrection.php?clue_id=25567"
"All stories, if continued far enough, end in death... he wrote in Death in the Afternoon","Ernest Hemingway","http://www.j-archive.com/suggestcorrection.php?clue_id=25554"
"While poets pour over the Rhine & Danube this 2nd largest German river gets no press","the Elbe","http://www.j-archive.com/suggestcorrection.php?clue_id=20450"
"Unyielding or inflexible","adamant","http://www.j-archive.com/suggestcorrection.php?clue_id=25560"
"Marie Curie named this element for her native land","polonium","http://www.j-archive.com/suggestcorrection.php?clue_id=25563"
"Prior to his '59 death, he was planning a mile-high skyscraper","Frank Lloyd Wright","http://www.j-archive.com/suggestcorrection.php?clue_id=25568"
"Organic & opaque, they represent purity & virginity","pearls","http://www.j-archive.com/suggestcorrection.php?clue_id=25570"
"Language in which Browning's Sonnets from the Portuguese was originally written","English","http://www.j-archive.com/suggestcorrection.php?clue_id=25555"
"Containing a source of the Nile near Jinja, this country's surface is 1/6 water","Uganda","http://www.j-archive.com/suggestcorrection.php?clue_id=25556"
"It means extreme fear or anxiety in German or English","angst","http://www.j-archive.com/suggestcorrection.php?clue_id=25561"
"Metal with highest melting point, it's commonly used in light bulb filaments","tungsten","http://www.j-archive.com/suggestcorrection.php?clue_id=25564"
"2 of 3 orders of Greek column styles","(2 of) Ionian, Doric, and Corinthian","http://www.j-archive.com/suggestcorrection.php?clue_id=25569"
"Stone of Laz, the Arabian goddess of love","lapis lazuli","http://www.j-archive.com/suggestcorrection.php?clue_id=25571"
"Brooklyn resort that's no longer an island","Coney Island","http://www.j-archive.com/suggestcorrection.php?clue_id=283574"
"Macy's employee who performed the Miracle on 34th Street","Santa Claus","http://www.j-archive.com/suggestcorrection.php?clue_id=283548"
"Sport that allows players to throw bombs","football","http://www.j-archive.com/suggestcorrection.php?clue_id=283551"
"These tubers make up 1/4 of all vegetables grown in U.S. & Canada","potatoes","http://www.j-archive.com/suggestcorrection.php?clue_id=283579"
"He's paid to laugh at Johnny's jokes","Ed McMahon","http://www.j-archive.com/suggestcorrection.php?clue_id=283555"
"Catherine was the name of 3 of his 6 wives","Henry VIII","http://www.j-archive.com/suggestcorrection.php?clue_id=283584"
"Bridge from Nassau connects with this heavenly Bahamian island","Paradise Island","http://www.j-archive.com/suggestcorrection.php?clue_id=283557"
"While he performed 36 miracles, he didn't want his disciples to spread it around","Jesus Christ","http://www.j-archive.com/suggestcorrection.php?clue_id=283549"
"Bernice Gera was the 1st in baseball","female umpire","http://www.j-archive.com/suggestcorrection.php?clue_id=283552"
"Peas, lima beans, navy beans & corn are examples of this part of a plant","seeds","http://www.j-archive.com/suggestcorrection.php?clue_id=283580"
"He Wanted... to get out of television & made The Great Escape to films","Steve McQueen","http://www.j-archive.com/suggestcorrection.php?clue_id=283556"
"Mastiffs, Pomeranians, & pugs","types of dogs","http://www.j-archive.com/suggestcorrection.php?clue_id=283585"
"Worlds 3rd largest, some of its inhabitants are wild men","Borneo","http://www.j-archive.com/suggestcorrection.php?clue_id=283575"
"Singer of the following : You wouldn't believe where I've been / The city and towns I been in / From Boston to Denver / And every town in between / The people they all look the same...","Barry Manilow","http://www.j-archive.com/suggestcorrection.php?clue_id=283550"
"They can be mashies & niblicks","irons (golf clubs)","http://www.j-archive.com/suggestcorrection.php?clue_id=283553"
"The Smithsonian is now home to Candice Bergen's brother","Charlie McCarthy","http://www.j-archive.com/suggestcorrection.php?clue_id=283581"
"It's advertised as 99 & 44/100 percent pure","Ivory Soap","http://www.j-archive.com/suggestcorrection.php?clue_id=283586"
"Galapagos Islands are home to only variety of this reptile to feed in the sea","iguanas","http://www.j-archive.com/suggestcorrection.php?clue_id=283576"
"Miracle worker for Arthur & Kate Keller","Annie Sullivan","http://www.j-archive.com/suggestcorrection.php?clue_id=283577"
"Number of fingers used to draw a bow","3","http://www.j-archive.com/suggestcorrection.php?clue_id=283554"
"His presidential campaign won him the electoral votes of only Mass. & Washington, D.C.","George McGovern","http://www.j-archive.com/suggestcorrection.php?clue_id=283582"
"Escape device used by hijacker D.B. Cooper","parachute","http://www.j-archive.com/suggestcorrection.php?clue_id=283587"
"Cocteau said this artist friend believed it miraculous That one did not melt in one's bath","Pablo Picasso","http://www.j-archive.com/suggestcorrection.php?clue_id=283578"
"The words that announce the start of the Indianpolis 500","Gentlemen, start your engines","http://www.j-archive.com/suggestcorrection.php?clue_id=283558"
"The Roaring '20s foremost evangelist, she founded the Foursquare Gospel Church","Aimee Semple McPherson","http://www.j-archive.com/suggestcorrection.php?clue_id=283583"
"Apparatus one needs to read the writing in da Vinci's notebooks","mirror","http://www.j-archive.com/suggestcorrection.php?clue_id=283588"
"Galaxy we live in","Milky Way","http://www.j-archive.com/suggestcorrection.php?clue_id=283614"
"America's Birthplace, July 4, 1776","Philadelphia, Pennsylvania","http://www.j-archive.com/suggestcorrection.php?clue_id=283604"
"The chief administrator of a prison","warden","http://www.j-archive.com/suggestcorrection.php?clue_id=283619"
"Scandinavian homeland of Edvard Grieg","Norway","http://www.j-archive.com/suggestcorrection.php?clue_id=283606"
"MCMLXXXIV","<i>1984</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283611"
"Human organ containing the smallest bones","ear","http://www.j-archive.com/suggestcorrection.php?clue_id=283615"
"It proclaims itself, The Biggest Little City in the World","Reno, Nevada","http://www.j-archive.com/suggestcorrection.php?clue_id=283605"
"Term for prison from word meaning sorrow for wrongdoing","penitentiary","http://www.j-archive.com/suggestcorrection.php?clue_id=283620"
"His Blue Danube waltzed a space station through 2001","Strauss","http://www.j-archive.com/suggestcorrection.php?clue_id=283607"
"Number of nights story teller Scheherazade kept it up","1,001","http://www.j-archive.com/suggestcorrection.php?clue_id=283612"
"Known as black light because most of them can't be seen with the naked eye","ultraviolet rays","http://www.j-archive.com/suggestcorrection.php?clue_id=283616"
"He fathered 6 Brandenburg Concertos & 20 children","Johann Sebastian Bach","http://www.j-archive.com/suggestcorrection.php?clue_id=283608"
"Feat in this Jules Verne novel could have been done over 4000 times since it was published","<i>Around the World in 80 Days</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283613"
"About 8% of all snakes are this poisonous type, which includes adders & rattlesnakes","vipers","http://www.j-archive.com/suggestcorrection.php?clue_id=283617"
"He wrote Onward Christian Soldiers as well as The Mikado & H.M.S. Pinafore","Arthur Sullivan","http://www.j-archive.com/suggestcorrection.php?clue_id=283609"
"Shakespeare comedy subtitled Or, What You Will","<i>Twelfth Night</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283621"
"Mineral that's the richest in uranium ore","pitchblende","http://www.j-archive.com/suggestcorrection.php?clue_id=283618"
"Melancholy Russian whose patron of 14 yrs. required they never meet","Tchaikovsky","http://www.j-archive.com/suggestcorrection.php?clue_id=283610"
"Based on obscure Scottish scandal, it was Lillian Hellman's 1st performed work","<i>The Children's Hour</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283622"
"Capital of Sri Lanka, it sounds like Peter Falk's been there","Colombo","http://www.j-archive.com/suggestcorrection.php?clue_id=317941"
"It turns chili into chili con carne","meat or beef","http://www.j-archive.com/suggestcorrection.php?clue_id=317958"
"Goldilocks' gruel","porridge","http://www.j-archive.com/suggestcorrection.php?clue_id=317949"
"Astronaut Edward White was the 1st American to do this","to walk in space","http://www.j-archive.com/suggestcorrection.php?clue_id=317951"
"It's normal chess move is one square in any direction","the king","http://www.j-archive.com/suggestcorrection.php?clue_id=317940"
"Name shared by brothers of Liberace & Ira Gershwin","George","http://www.j-archive.com/suggestcorrection.php?clue_id=317948"
"Continent Greenland is considered part of","North America","http://www.j-archive.com/suggestcorrection.php?clue_id=317942"
"The breadwinner is also said to bring this home","the bacon","http://www.j-archive.com/suggestcorrection.php?clue_id=317959"
"A TV program such as this one","quiz (program)","http://www.j-archive.com/suggestcorrection.php?clue_id=317950"
"Only 32 senators & 17 governors were members of this political group in '65","the Republican Party","http://www.j-archive.com/suggestcorrection.php?clue_id=317962"
"Mythical creature that serves as 1 type of honors tiles in Mah Jongg","the dragon","http://www.j-archive.com/suggestcorrection.php?clue_id=317946"
"Northern song that became Confederacy favorite away down south","""Dixie""","http://www.j-archive.com/suggestcorrection.php?clue_id=317954"
"As Cape Horn is to South America, this is to Africa","the Cape of Good Hope","http://www.j-archive.com/suggestcorrection.php?clue_id=317943"
"Found on some stoves & some beer drinkers","a potbelly","http://www.j-archive.com/suggestcorrection.php?clue_id=317960"
"Carroll Baker & Carol Lynley played this '30s star in 2 movies with the same title","Jean Harlow","http://www.j-archive.com/suggestcorrection.php?clue_id=317963"
"Card game played in this Carpenters hit: There was a man, a lonely man...","""Solitaire""","http://www.j-archive.com/suggestcorrection.php?clue_id=317947"
"Contrary to title, Tchaikovsky composed it in 1880","""The 1812 Overture""","http://www.j-archive.com/suggestcorrection.php?clue_id=317955"
"Closest foreign country to Fairbanks, Alaska","Canada","http://www.j-archive.com/suggestcorrection.php?clue_id=317944"
"7 or 11 in craps, or Robert Redford in recent movie","a natural","http://www.j-archive.com/suggestcorrection.php?clue_id=317952"
"In 1978 this Irish flutist had a hit in England with Annie's Song","James Galway","http://www.j-archive.com/suggestcorrection.php?clue_id=317956"
"The Gulf of Aqaba separates these 2 Mid-East peninsulas","the Arabian Peninsula & the Sinai Peninsula","http://www.j-archive.com/suggestcorrection.php?clue_id=317945"
"Strategic punt on 1st, 2nd, or 3rd down","a quick kick","http://www.j-archive.com/suggestcorrection.php?clue_id=317961"
"Number of cards in a bridge trick","4","http://www.j-archive.com/suggestcorrection.php?clue_id=317953"
"This light classical favorite buzzed out of Rimsky-Korsakov's Tale Of Tzar Saltan","""The Flight Of The Bumblebee""","http://www.j-archive.com/suggestcorrection.php?clue_id=317957"
"An archaeological excavation, or most common activity there","a dig","http://www.j-archive.com/suggestcorrection.php?clue_id=320348"
"The inability to sleep","insomnia","http://www.j-archive.com/suggestcorrection.php?clue_id=320351"
"Rubbery stuff that made The Absent-Minded Professor's Model T fly","flubber","http://www.j-archive.com/suggestcorrection.php?clue_id=317965"
"Jimmy Carter served as naval engineering officer on one of these","a nuclear submarine","http://www.j-archive.com/suggestcorrection.php?clue_id=320352"
"13 ate at this event depicted by Leonard Da Vinci","the Last Supper","http://www.j-archive.com/suggestcorrection.php?clue_id=317964"
"The 2 things created in the 1st line of the King James Bible","the earth and the heavens","http://www.j-archive.com/suggestcorrection.php?clue_id=320356"
"In D.C., exhibit of this king's Treasures drew 835,000, more than city's population","King Tutankhamun","http://www.j-archive.com/suggestcorrection.php?clue_id=320349"
"Helen Salter is playing this role, a cousin to one played by Christopher Reeve","Supergirl","http://www.j-archive.com/suggestcorrection.php?clue_id=317966"
"Simple formula used to determine how much energy a chain reaction would release","E=mc<sup>2</sup>","http://www.j-archive.com/suggestcorrection.php?clue_id=320353"
"What the man holds in Grant Wood's American Gothic","a pitchfork","http://www.j-archive.com/suggestcorrection.php?clue_id=317970"
"You don't know about me without you have read...The Adventures of Tom Sawyer","<i>Huckleberry Finn</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=320357"
"Archaeologist Schliemann excavated ruins of ancient Troy in this country","Turkey","http://www.j-archive.com/suggestcorrection.php?clue_id=320361"
"Controversial Coppola film about a '20s Harlem nightspot","<i>The Cotton Club</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=317967"
"Purpose of the Manhattan Project was to make this","the atomic bomb","http://www.j-archive.com/suggestcorrection.php?clue_id=320363"
"Movie of Toulouse-Lautrec's life named for where he spent part of it","the <i>Moulin Rouge</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=317971"
"1st word in this Orson Welles movie is also the title character's last","<i>Citizen Kane</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=320358"
"Two Alfred Hitchcock films which begin with the letters Sab-","<i>Sabotage</i> & <i>Saboteur</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=317968"
"Reactor type where more fissionable material is created than consumed","a breeder reactor","http://www.j-archive.com/suggestcorrection.php?clue_id=320364"
"Goya painted her Clothed & Naked","Maja","http://www.j-archive.com/suggestcorrection.php?clue_id=320354"
"It was love at first sight between Yossarian & his chaplain in this novel","<i>Catch-22</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=320359"
"These Inca ruins near Cusco, Peru weren't discovered until 1911","Machu Picchu","http://www.j-archive.com/suggestcorrection.php?clue_id=320350"
"Father of Morpheus, he was the Greek god of sleep","Hypnos","http://www.j-archive.com/suggestcorrection.php?clue_id=320362"
"It was the Next Stop for Paul Mazursky","Greenwich Village","http://www.j-archive.com/suggestcorrection.php?clue_id=317969"
"Deuterium is the heavy isotope of this element","hydrogen","http://www.j-archive.com/suggestcorrection.php?clue_id=320365"
"Court painted for Henry VIII who painted him & several of his wives","Hans Holbein","http://www.j-archive.com/suggestcorrection.php?clue_id=320355"
"It is the cruelest month in T.S. Eliot's The Waste Land","April","http://www.j-archive.com/suggestcorrection.php?clue_id=320360"
"Charlton Heston's charioteer","Ben-Hur","http://www.j-archive.com/suggestcorrection.php?clue_id=283321"
"New transmission system for radio which began in 1940","F.M. (frequency modulation)","http://www.j-archive.com/suggestcorrection.php?clue_id=283326"
"Joanne Woodward's Eve had this many faces","Three","http://www.j-archive.com/suggestcorrection.php?clue_id=283336"
"It's taxed to the max","income","http://www.j-archive.com/suggestcorrection.php?clue_id=283327"
"They distinguish a pommelled horse from a vaulting horse","handles","http://www.j-archive.com/suggestcorrection.php?clue_id=283341"
"A show for different folks","<i>Diff'rent Strokes</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=283332"
"1st name of Defoe's bawdy heroine, or a gangster's girlfriend","Moll","http://www.j-archive.com/suggestcorrection.php?clue_id=283322"
"Profession of Johnny Longden & Eddie Arcaro","jockeys","http://www.j-archive.com/suggestcorrection.php?clue_id=283333"
"Number of gables on Nathaniel Hawthorne's House","Seven","http://www.j-archive.com/suggestcorrection.php?clue_id=283337"
"A beetle bomb","insecticide","http://www.j-archive.com/suggestcorrection.php?clue_id=283328"
