"","comments","neighbourhood_cleansed"
"882.1","I never met Sean. I was only in touch with him through Phone and text messaging.  The place is a good location, a bed, and a tiny tiny bathroom and shower.  Everything about this listing is cheap cheap cheap.  The blinds on the windows fall as soon as you touch them, the bed was assembled with plywood, and the mattress has very little spring in it.  The cups and dishes were covered in dust and there was no obvious sponge to clean them, so I just ate out or bought prepared food.  He did leave me linens and towels.  Also, the window doesn't close well so it can get quite cold in the winter when I visited.  Nothing unsafe or dishonest about this apartment just definitely not luxury.","Mission Hill"
"28601","This is a great place. Very clean, ideal location close by to downtown and the new Boston Convention Center, comfortable bed, clean linens, WiFi, plus a wonderful host. I would strongly recommend it to any fellow traveler.","Leather District"
"28613","First time using airbnb... Jazz was an amazing host!!!! The place was exactly what it looked like in the photos... I would absolutely come back again.... Thanks Jazz! You are a great host!","Leather District"
"15798","Sean was prompt in answering phone calls, though he seemed not to be reading SMS and emails. So contact him by phone calls. 

Pros: The place was overall clean. The location is very convenient and close to the Green Line and many shops. The fridge and the microwave oven worked properly. 

Cons: The studio is small and the facilities inside seemed quite old. The faucet in the bathroom could not be closed tightly. The sound of dribbling of water was annoying and it was quite a waste of water. (I have known this from the host manual beforehand but could not understand why Sean did not fix it.) The location is too close to Huntington Ave and the noise at night was horrible. The air conditioner did not seem to work properly and was quite noisy. Interestingly we managed to use the noise of the air conditioner as """"white noise"""" to cover the noise from outside so that we had a better sleep at night... 

You got what you paid for. ","Mission Hill"
"12939.1","I stayed in the flat of Yosef for two times over a couple of days in December 2014. It was a very clean, comfortable and well located place near Mission Hill with only 1 min. to go to the next tram/subway station (green line). Yosef and his roommate were perfect, very welcoming hosts, providing detail instructions prior to check in. I would go there anytime again.
Im Dezember 2014 wohnte ich (53, erste Erfahrung mit airbnb) zweimal für mehrere Tage in der Wohnung von Yosef und James. Yosef war in dieser Zeit bei seinen Eltern und ich wohnte in seinem Zimmer, was, wie die gesamte Wohnung, sehr sauber und komfortabel war. Die Lage nahe Mission Hill und die kurze Entfernung zur nächsten Straßenbahnhaltestelle (green line) waren perfekt, auch für Ausflüge in das Stadtzentrum.
Die Kommunikation vorab war schnell und ausführlich und das Einchecken absolut unproblematisch. Yosef und sein Mitbewohner James waren perfekte, freundliche und angenehme Gastgeber.
Bei meinem nächsten Aufenthalt in Boston würde ich diese Wohngelegenheit auf jeden Fall einem Hotel vorziehen und würde gerne wieder bei Yosef und James wohnen.
","Mission Hill"
"848","The apartment is very easy to get to. It's 200 feet from the Fenwood St. stop on the green E line, and Sean gives you very clear instructions for getting in. The apartment itself was clean, and had everything I needed for my trip(including an iron!). It's a REALLY small space. I'm 5' 11"""" and found it hard to shower. Definitely wouldn't recommend it for anyone who is really tall or has issues in tight spaces.

I never met Sean, but he was responsive and helpful throughout the process. I had to come in a day late than I anticipated and there were no problems. Seems like a nice guy, I'd stay at one of his spaces again.","Mission Hill"
"28636","Jazz was a great host and her place was clean, comfortable and looked great. The location is very convenient to the South Station train and bus terminal. I would certainly stay there again.","Leather District"
"28627","By far the best accommodations and service I've had the pleasure of experiencing through AirBnB.  The loft was immaculate, the room (which I worried would feel like a shoebox) was spacious with possibly the most comfortable bed I've slept on, amenities are top notch, and the location can't be beat.  Jazz followed all of this up with great communication throughout.  I look forward to my next trip to Boston, and if I'm lucky, another stay here.","Leather District"
"864","Sean was immediately reply to my massage. And he's very kind. But the bathroom is too small. I was frustrated. Water did not come out well.","Mission Hill"
"16516","This loft is wonderful. There are two really lovely bedrooms and one very comfortable bathroom. The common area is completely open but so large that it doesn't feel in any way cramped. The apartment is beautifully decorated. The kitchen is perfect. We stayed here with our two young children, and both of them completely enjoyed the kids' room which was full of basic toys and books to keep them completely occupied. Although we were considerate of the amount of noise we were making, the building is so large and seemingly sound proof that I doubt anyone heard us. We also could barely hear people in the surrounding apartments. 
The building is on a corner a block from the Chinatown entrance, so we strolled there in the evening. It is also two blocks the other way from South Station. We also walked 15 minutes or so to the Children's Museum, which was tons of fun. For adult travelers there are restaurants and many places that you can either walk or easily take the T or a cab too. And this place is perfect if you're coming into town on a train and working in the financial district. On our last evening we invited a few friends for Chinese takeout and the space was very comfortable for them for a small informal dinner. (It would also be AMAZING for a small formal dinner, btw--but alas we've got two leprechauns.)  We would definitely stay there again. 
The only challenge—but this is the case just about anywhere in the city—was loading and unloading the car. Thank god for the elevator!
Finally, the owners were a true pleasure to deal with. They answered quickly, responded to any of our concerns, were courteous and flexible. The whole experience was, quite frankly, perfect. ","Leather District"
"41612","Tout était parfait! Le quartier est très sympa, calme et proche des transports (5 min de la station et 30min de downtown). Les hôtes sont adorables, très prévenants et accueillants. La chambre est très bien et correspond à la description. L'accès à la salle de bain et à la cuisine sont très faciles. Nous recommandons fortement de contacter Carl car c'est réellement une des meilleures place où loger sur boston!!","Mission Hill"
"786","If you're looking for a quiet place with clean sheets to spend the night, this will work, in a bare-light-bulb, monk's closet sort of way.

The room is postage-stamp tiny.  There's a double bed against the wall, and floor space for (barely) two suitcases.  If the two occupants of the bed retire or rise at different times, there's lots of climbing over each other in the dark.

Aesthetically, the place is a dump.  Electric plates hanging off the wall, curtain tied in a knot to keep it away from the window a/c, cardboard inserts on either side of the a/c. The bathroom is the worst: missing tiles on the floor, one soap dish broken off, mirror cracked, mildew around the tub which does not drain during a shower.  And the hot water cut off twice while showering.

Also there was only one key, so the two of us were constantly in communication about who had the key and who couldn't get back into the apartment until the other arrived.

But as I say, if you just need to spend the night in a quiet place that's near all the hospitals for less than $100, this will work.

(I should add that my wife's review is not quite as forgiving as mine.)","Mission Hill"
"25562","Wir haben super kurzfristig das Zimmer angefragt (am selben morgen) und es wurde sehr schnell geantwortet und wir wurden super empfangen. Das Zimmer ist in einer Studenten-WG und recht einfach. Zimmer und Bad war beides sauber und die Küche und Kühlschrank durfte auch mitbenutzt werden. Choi, der Host ist super nett. ","Mission Hill"
"15767.1","I hate to leave a negative review, but after many Airbnb experiences, this one left a bit to be desired. The entrance key was not left behind for me; the previous guests hadn’t left it as they should have, but the host hadn’t ensured it was there, which wasn't the best way to welcome a guest if anything goes wrong. In the end, I waited an hour and a half outside the building, to the point that neighbors offered to let me in and asked if I was ok. I would have gone for a coffee or lunch to avoid loitering, but Sean told me he was coming shortly.  I had very little time to spend in Boston, and though Sean responded fairly quickly, he didn’t come for an hour. While Sean seemed like a nice, laid-back guy who tried to accommodate me and did apologize (a little), he seemed somewhat oblivious to the fact that this was kind of a big bummer and really threw my plans off.  When I realized there was no key, I asked Sean to call me so we could sort it all that way quickly, but he only texted and sent Airbnb messages, which wasn’t easy to handle in the cold on my phone , and I guess that made me feel like he was avoiding a conversation, which would have been reassuring. Upon entering the apartment late in the afternoon with him once he arrived (3pm, check in was about 1pm), I can’t lie; the place was pretty dirty, had an odor, and at that point I was a bit exasperated. To Sean’s credit, after I returned in the evening and he had changed the sheets and cleaned, it was better. (Sorry! As someone else mentioned, I think the place needs a deep clean and a bit of maintenance to be truly ready for guests--I understand the apartment is old and I don't care about that a bit, but that doesn't mean it can't be cleaned and maintained in a caring way, and I would feel a bit bad renting a place in this shape. It looks rougher than the pictures.) On the plus side: the apartment was the perfect temperature, it's conveniently located by the green line, the kitchenette is useful, wifi was fine, and Sean was really nice to bring a bike over for me that I felt badly I couldn't use in the end due to limited time and more snow. I get that things happen, and this is one way to do an Airbnb rental (minimal maintenance and a full guest list based on a good city location), but I would have appreciated a little more, “Sorry once again about the big hiccup getting in, I really apologize for that and will look into a better system so it doesn’t happen again!,” instead of him inquiring whether I’d returned the key (of course I did after my experience! :) )-- that would have gone a long way. ","Mission Hill"
"28702","L'appartement est Nickel , super et bien placé en plein centre de Boston, près de tout, bien desservi par le metro, pratique lorsque vous venez de l'aéroport avec la ligne argent (silver)
Beautiful appartement, well located , near to all staff, 
Jazz was super pleasant and helpful to advise me what is better in Boston, especially for good restaurant, Thank you a lot.
I really enjoyed my staying in Jazz's apartment 
I definitely go for Jazz's apartment if I return to Boston.","Leather District"
"10129.2","THIS place was TERRIBLE and DOES not meet minimum cleanliness standards.

Joshua was not upfront that there are 5 other people leaving in that APT. Also he did not tell me that he does not live there any more. Basically he was subletting the place and I was not informed of this. 

The place is really Dark and very badly maintained by these 2o year old college kids. There was one bathroom used by all the five 5 roommates and it was nasty as hell. The other bathroom was on a different floor and the plumbing was broken. The bathrooms were not cleaned for months, as I could see rolls or used toilet paper and empty shampoo bottles with sticky floor. 

Since Joshua doe not live there and was a surprise for me, I was not comfortable staying with these people, and compete for the nastiest bathroom. I tried tried taking the shower and the water would not drain and my whole body started itching for the whole day with red rashes. 

I basically vacated the place without staying for a night, even though I reserved for 2 weeks.

I do not recommend this place for any one as this does not meet the cleanness standards or a place you would have to pay so much. Description does not meet what I say there.

Worst part the kitchen and the washing room were so dark and nasty with lots of Trash from almost 3 months lying all over the APT. I could even smell POT all over the place. There were cigarette buds 100's of them all over the APT, bathroom, kitchen etc.
","Mission Hill"
"820","In short, you get what you pay for. Very affordable price for an older, one-room studio. Towels, sheets, and blanket were provided and clean. Bathroom is tiny (to California standards) but the water is hot and plenty, and we had no issues with plumbing/toilet. There was a mini-fridge which was really nice to have during our stay. The bed itself was comfortable enough, but there were times I thought we were going to break the frame while sleeping! Maybe we ate too much while in Boston!

I will say that you can't beat this location. It was literally a 30 second walk to the train/bus stop and that made it really easy for us to get around Boston and even come back in the middle of the day to get some rest. 

Overall, if you don't mind a no-frills and very affordable place to stay, this is it. Being from California, I wasn't used to the small space and older buildings, so it took some time to get used to everything, but overall, can't complain. ","Mission Hill"
"28642","Had a GREAT with Jazz!!! Location was excellent… South Station is literally just down the street, making connections to everywhere super easy.  Easy walking distance to all of Boston.. Back Bay, Financial, Boston Common and garden; and Chinatown at your doorstep!  Fab.
The place was a scrupulously clean, interesting loft in a secure elevator building. High ceilings, exposed brick and wood beams, hardwood floors, and, as a bonus, well chosen artwork!!  Very cool vibe.  The bedroom was outfitted with a really comfortable queen bed with good quality linens and down comforter, and plenty of extra blankets and pillows. Good size room that easily accommodates 2.
Bathroom, shared, was so clean it seemed new :-)  Plenty of towels and space! 

Jazz was a pleasure to chat with! Very easy going.  In fact, my travel plans were thrown into a tailspin, and she was very flexible and gracious in accommodating my needs.

Overall, this was a 5 star plus stay.  Wished they were all this good!!!

Cheers!","Leather District"
"28659","This place is a jewel! Just a few minutes walk from the South Station, the connections are really excellent all over town. It is an elegant and a super clean loft - could be in any interior decoration magazine. Jazz is a wonderful host, generous, an example of hospitality, making a huge effort for the guest to feel at home and have a good time, making coffee, offering snacks, tips and advice. She is energetic and positive, in a few hours it feels as if you had known her for years. It was a pleasure to stay at her place and to get to know her! Warmly recommended. ","Leather District"
"15551","The apartment was functional for my needs. Very small but that wasn't a surprise as it was advertised that way. The bathroom was a bit grotty due to the age of the building (ie tiles loose on the floor, stains in the sink and mildue on wall tiles) but thats part and parcel of some of these older style apartments. Given the outrageous prices for Hotels in this city this apartment proved to be a big money saver for me. Sean was helpful when I needed to ask a question and check in and check out were conducted without any dramas. If you like roughing it to save dollars like I do then this is a great option. If you are a bit precious about things and need everything to be spotless and sparkling white then maybe u might consider other options. Transport options were good with a tram to downtown being only a block away. Excellent options everywhere around the neighborhood for eating out. Thanks Sean.","Mission Hill"
"16498","This is a really terrific apartment and I would absolutely stay here again.  The location is super convenient to drive into, the parking lot is super close so for me, having driven into Boston, it was nice to have a a place to securely leave my car (I uber'd everwhere).

Plus there is a 24 hour diner around the block, so when the 3 of us who stayed there came in at 3:30am,  we were able to go grab a bite, making the morning meetings much more manageable. 


","Leather District"
"834","Booking was simple and straightforward, and Sean made it easy and convenient for me to check in, even though I was arriving quite late. He was prompt and friendly. The apartment was a bargain- it is hard to find a such a cheap place that isn't a shared space, especially so close to the hospital area. That said, it was a fair price for what I got: a small studio with basic kitchen, pretty clean, but in need of some love here and there. The bathroom was a bit run down, and the apartment door needed replacing. The building is okay, not great, and there was a fire alarm with a dead battery beeping down the hall all night. It is a bit of a sketchy neighbourhood, not dangerous, but not the best place to arrive alone late at night. However, it is very central and convenient to most of Boston.","Mission Hill"
"17806.1","I got the place because it was convenient and only a walking distance from BIMC.
However; I think it's way over priced I paid 6k for a one month stay and had to pay extra for parking . The whole building smells so bad. It takes forever to get on the elevator and when you do finally get on one you're like a sardine with 8 Indians from India or Arabs.
There was a sewage leak in the hallway for like 5 days.
For the amount of money I paid you'd think that you would have a washer or dryer but no. Also The bed was extremely uncomfortable. And college kids on the floor were loud most nights! 
Looking back i should've booked a hotel. It would've cost the same for a much pleasant experience. 
","Mission Hill"
"16510","Beautiful apartment in a great location. Nicolas was a very responsive host and the apartment was very clean and tidy. Would recommend this apartment and hope to stay again.","Leather District"
"39654","The neighborhood was safe and delightful.  
Transportation was perfect and nearby.
Cool place on a hot summer weekend.
Close to Fenway Park, MFA, and BU.
It's a stretch for three people but we did well there.
Two rooms with difficult stairs for anyone who has
a problem with stairs.


","Mission Hill"
"27730","Great host and a nice appartment!
The appartment was clean, near the subway station, and included some tips about where to go in the neighborhood.
If I had to say one negative thing would be the noise when upstairs neighbors are going out/coming in the building.
Other that, we enjoyed our stay and would recommend to anyone, thanks Steven!","Mission Hill"
"13219","Matt is a good guy. Welcoming and made sure everything was set up. Nice place in a great neighborhood. 2 minute walk from South Station. Lots of stuff to do nearby. 

Was in town for a convention with a colleague of mine. There are two full baths, one is attached to a bedroom, the other is not. This worked out fine for us, just an FYI to those who might be doing the same in the future.
","Leather District"
"15600.2","I'm hesitant to give this 2 stars -- I'd like to give it one or none -- because I got BED BUGS from this place!  But I have to be fair and say that the location and convenience are great; it's super close to the T, great point from which to explore Boston and restaurants and shops close by. Also, Sean was accommodating and helpful; he brought us more bedding when we needed it and also let us keep our bags in the studio for a few hours past check out time on the day we left so that we wouldn't have to traipse through Boston with them.  BUT, and it's a big BUT, this place feels like it hasn't had a good cleaning in years.  There is dust everywhere and worst of all, the mold was THICK in the bathroom.  So bad and so nasty that I went out and bought tile cleaner and cleaned the thing myself!  When Sean came by (to drop the bedding) he noticed I had cleaned and said something about oh, it'll just be back because there isn't ventilation.  Um, no, it won't come back if you clean regularly.  He also said something along the lines of, well, that's why it's not $200 a night.  Again, no.  I don't care how much I'm paying, I expect a clean and healthy place -- and mold in every crevice of the bathroom is just plain disgusting and unhealthy.  There are also missing tiles in the bathroom floor and some are coming up.  I took pictures of all this by the way, because I couldn't believe it. I wouldn't care so much about that if -- again -- I felt that the bathroom floor had been properly scrubbed in the last year or so.  But whatever, I could get over all that -- it's the BED BUGS I'm mad about.  Lo and behold I come home and to dozens -- maybe hundreds? -- of bites all over my body.  I'd post pictures but they are rather gross. It takes a few days for them to appear so I didn't realize it till after I left, because believe me, otherwise I would have called Sean and AirBnB and demanded a new place to stay.  So yeah, here I am at home, now frantically washing all my clothes and linens.  So if the place were cleaned and exterminated, I'd give it a 3 or 4 (it is very small) but as is, I'd say go somewhere else!","Mission Hill"
"19297","This was a very short notice and short stay so I am grateful to Fernando and Victor's flexibility in hosting me. The room is small and on a basement which is dark (as all basements are) there's a lot of loud noises. The fan is loud, the pipes are loud, etc so do bring ear plugs. The location is unbeatable, though! The bus and tram stop right in front of the place and run from very early to very late (I took a 4:30 AM bus to the airport on a Saturday). ","Mission Hill"
"12310","Veronica was great to deal with, prompt in her replies.  The apartment is small and has everything you need, as advertised.

There is no air conditioning in the unit and it was very uncomfortable on the hot days.  The apartment could also use a very thorough cleaning.  Cable was not available in the unit which was disappointing.  The bed was also very uncomfortable, I think it was a double bed on a queen frame.  

That said, it was the cheapest option in the area, so I think it's a get what you pay for scenario.","Mission Hill"
"8524","Josh's place was nice and easy to find. The best part of the room was the keyboard (am a piano player so loved it). Bathrooms weren't clean at all which was a big disappointment. I didn't get to meet the host personally but it was very quiet since most of the time no one would be home. I choose the place for its location. Room was clean. Thank you Josh for hosting us.","Mission Hill"
"15767.2","I hate to leave a negative review, but after many Airbnb experiences, this one left a bit to be desired. The entrance key was not left behind for me; the previous guests hadn’t left it as they should have, but the host hadn’t ensured it was there, which wasn't the best way to welcome a guest if anything goes wrong. In the end, I waited an hour and a half outside the building, to the point that neighbors offered to let me in and asked if I was ok. I would have gone for a coffee or lunch to avoid loitering, but Sean told me he was coming shortly.  I had very little time to spend in Boston, and though Sean responded fairly quickly, he didn’t come for an hour. While Sean seemed like a nice, laid-back guy who tried to accommodate me and did apologize (a little), he seemed somewhat oblivious to the fact that this was kind of a big bummer and really threw my plans off.  When I realized there was no key, I asked Sean to call me so we could sort it all that way quickly, but he only texted and sent Airbnb messages, which wasn’t easy to handle in the cold on my phone , and I guess that made me feel like he was avoiding a conversation, which would have been reassuring. Upon entering the apartment late in the afternoon with him once he arrived (3pm, check in was about 1pm), I can’t lie; the place was pretty dirty, had an odor, and at that point I was a bit exasperated. To Sean’s credit, after I returned in the evening and he had changed the sheets and cleaned, it was better. (Sorry! As someone else mentioned, I think the place needs a deep clean and a bit of maintenance to be truly ready for guests--I understand the apartment is old and I don't care about that a bit, but that doesn't mean it can't be cleaned and maintained in a caring way, and I would feel a bit bad renting a place in this shape. It looks rougher than the pictures.) On the plus side: the apartment was the perfect temperature, it's conveniently located by the green line, the kitchenette is useful, wifi was fine, and Sean was really nice to bring a bike over for me that I felt badly I couldn't use in the end due to limited time and more snow. I get that things happen, and this is one way to do an Airbnb rental (minimal maintenance and a full guest list based on a good city location), but I would have appreciated a little more, “Sorry once again about the big hiccup getting in, I really apologize for that and will look into a better system so it doesn’t happen again!,” instead of him inquiring whether I’d returned the key (of course I did after my experience! :) )-- that would have gone a long way. ","Mission Hill"
"28664","Jazz was incredible! She was so accommodating, available when I needed to get the keys, and was flexible when my schedule changed. Her loft is FABULOUS and so central. Highly highly recommend her. ","Leather District"
"28649","Jazz is vvvvvvery nice. Her place is super clean and has best location.  I had a very pleasant night at her place. Highly recommend!","Leather District"
"28603","What a great place and great host! Very accommodating and friendly and would definitely recommend to future guests!","Leather District"
"15700","We stayed at the apartment for one night. Sean was helpful and accurate in the information provided, although we did not meet. At the time of booking we were aware of the small size of the study and mattress left on the floor (learned from previous reviews); the only positive aspect that we found was the proximity to public transportation.
The apartment was awfully dirty: stained mattress cover and probably unwashed, half an inch of dust everywhere, from shutters to tables and kitchen. On the floor of the bathroom we found several hairs, half-finished bars of soap and detergents that probably dated back to a few years ago. From the ceiling dangled the smoke detector. Finally, the noise coming from the street was rather annoying.
Concluding this apartment does not reflect the photos presented on AirBNB, as already reported by other users. Boston is expensive, so we opted for this solution (relying on the photos and on some good reviews). Certainly We didn't expect a hotel service but certainly not the situation in which we found ourselves. We wouldn't recommend this experience to anyone.
","Mission Hill"
"909"," To start with, the description was misleading along with the photos posted. We could not spend a single night staying there and were forced to find accommodation elsewhere. As we are students, we do not have much money and had budgeted our entire trip and this set us back quite a lot of money. We wish to highlight this almost fraudulent behavior. We had to lodge an official complaint with both air bnb and the host in question. The room was much smaller then the photos led to believe. It advertised that it had a kitchen with facilities however the kitchen was a cubby hole with a plug in hob balancing on a fridge. The hob also looked unsafe to use and there was no sink for use except for the In the bathroom. This is disgraceful and action should be taken for future users of this site. The bed was self made and looked unsafe in structure,  the sheets were not changed after we arrived and the host proceeded to let himself in without knocking knowing we were there. This felt very intrusive. The room itself was not too a good standard.  It advertised you could fit two to three people where one person alone where a tight fit in reality.
As we had issues getting in contact with the host in the first place to inform him when woulf arrive, we could not contact him to inform him we would not be staying there.","Mission Hill"
"28708","Jazz was the best host I could have asked for!!
Great location. Perfect loft. And a super nice host. 
Wonderful experience. Will definitely stay again if I visit Boston !","Leather District"
"16499","Nicolas was a phenomenal host and as great as the condo looks in pictures; they don't do the place justice. It's a beautiful home, extremely comfortable, and was a perfect place to stay for me and two colleagues. It was a short walk to plenty of bars and restaurants and a quick and easy trip to/from public transport. This is the first place I'll look to stay for Boston trips moving forward. ","Leather District"
"23760","This place's advantage is near T.. that's it. This room is only good for spring or summer NOT winter i guess, because of heater inside of room. Every ten minutes? or twenty minutes there was sound of heater.. it was disaster. If there was no heater, its gonna be freezing inside. Also, this room has a bunk not like a picture. Moreover, if you want to fine a more friendly host.. you should fine another place to stay. My mom and I just stayed here for two days out of a week and changed the place to Sharaton hotel in Boston. I was really disappointed both this place and Airbnb as well.
","Mission Hill"
"16507","Nicolas was a great and helpful host who made me feel welcome. I would certainly stay there again. 

The location is fab and the property is stylish, nice, clean, comfortable and spacious. 

Many thanks. ","Leather District"
"28633","This was our first airbnb experience and it was brilliant.  Jazz was super helpful about everything - directions, restaurant suggestions and general information and her loft was just as pictured.  She was a generous, fun and warm host and we really enjoyed chatting with her and staying in her comfortable apartment.  Just sorry that we were only there for one night.  Would definitely recommend it!  Will also be using airbnb again.  Hope to see you in the BVI Jazz!","Leather District"
"15785","We hesitated a lot before writing this comment because we fand Sean really nice and kind: we met him upon our arrival as he was finishing preparing our flat. The bed sheets and towels have been changed. The first impression of the flat was that we have been trapped!!!
The appartment is definitly is a very bad shape and shall be completly refurbished: questionnable electrical installation (cables repaired with band,...), broken stores, ceiling in the bathroom almost falling down, ventilator in the bathroom also broken. The bed was even funny : the feet are composed of 2 superimposed shoe pairs on one side and a rechargeable battery on the other (!). But okay, what do you expect for this price ? This was indeed not was shocked us with this flat.
The worst part was the dirt. And even for such a price you can expect the flat to be cleaned !!! The floor was full of dust and of hairs (different sizes and colors so it was probably not only from the former guest unless they've lived with 5 people here).
The bathroom was covered with moisture, the electrical plate and the oven were black with dirt, the fridge had brown motives made of a fluid which one fell on it, the walls and the doors were covered with traces of liquid which made flowing motives when drying. We tried to clean the dust from the table to check if it had just not been cleaned for one or two days: it was actually fixed by months or years of quiet sedimentation...
Clear NO GO, even for the price!","Mission Hill"
"28652","My stay at Jazz's was great. The room and the loft were perfectly clean. Jazz is nice, welcoming and helpful.
It was the second time I used Airbnb. My first experience was awful and Jazz completely changed the apprehension I had. I hope we will meet again in the future.","Leather District"
"28643","Jazz couldn't be a better host. She was very welcoming and has an amazing place. The place is extremely clean, modern and within walking distance to much of what Boston has to offer. The great conversation we had was an added bonus. This recommendation is a no brainer - treat her place with the care it deserves if you are lucky enough to stay there. Enjoy!","Leather District"
"28614","If you're looking for a really beautiful, spacious place to stay with an ultra-cool host, Jazz's loft is absolutely perfect! It's within walking distance to everything: BCEC, Seaport area, Chinatown, the red and silver transit line (which take you directly to the airport, downtown, Harvard, Cambridge, south Boston). Plus, it's nestled in an area that isn't too busy, so you don't have to deal with noise and traffic.

As a host, Jazz was amazing. She gave a lot of details about the area upon our arrival, including restaurants, pubs, shops and transit. Plus, she gave us the space and privacy we needed during out stay. Super nice and very accommodating. 

What are you waiting for? Seriously. Stay here, you won't regret it!","Leather District"
"891","I came to this listing knowing it would be a small, cozy apartment almost like a student dorm with a small private bathroom. What I didn't expect was how filthy it was. First off, the location is awesome. It is in an area near a ton of universities and right around the corner are plenty of food places and a couple of bars. It's right next to the E-Train so you have access everywhere! There is even a grocery store and pharmacy a block away. I would of had a more positive experience if the apartment wasn't filthy. I checked in early and the previous tenant's used towel and linens were still in the room. I checked in early at noon instead of 1, so I didn't mind. The house manual says that Sean comes in about one time per day to change linens, around 3PM. I left for the day to return around 6PM and the room still had not been cleaned so I contacted our host who said he was unavailable to come at the moment. He ended up coming by later that night around 10:30PM after some pleading and changed the linen and the towels. The room had clean linen now, but the room was still dirty. There was a lot of dust, stains of dried sticky liquid accumulated with dirt under the bed, and the bathroom had bugs. Several bugs would show up in the bathroom and rest on the towels. When he came in that first night, he didn't clean the floors or the shower floor and with the addition of bugs in the bathroom, I did not feel comfortable and ended up not showering for the duration of my stay. I told Sean about the bugs and he said he """"was sorry I had to see that"""" and blamed it on the missing tiles which he said he was going to come in the next day to fix, which he did not. Later, there was a discrepancy with the lock box which I wanted to notify him about and he responded by insulting another tenant. Honestly, although he was very nice in person, I think he may have too much on his plate and is in turn neglecting his duties as a host on AirBnB and would therefore not recommend staying with him at all.","Mission Hill"
"28608","The pictures do not justice to how amazing this space it, and how convenient it is to everything.  Jazz is fantastic host, as well.  The bed is so comfortable and everything is modern and comfortable.   The bedroom is private with a sliding door.  A true gem in a great neighborhood. ","Leather District"
"36897.1","The apartment is accurately shown in photos. Ann was good to work with. A friend and I shared the place for a week.

Pros:
***Great location (5-10 minute walk to LMA; two T lines within 4 blocks; 2 T stops from MFA; supermarket, drugstore, and many places to get food nearby.
—Resides on a lovely, quiet street.
—Good amount of space, with separate dining area, and even a porch if you're there in the right weather.
—Two full baths (one quite large), one with bathtub. 
—Great water pressure; hot water plentiful.
—Nice linens.
—Good internet connection.
—Quiet.

Cons:
—Place needs updating. Master bed is small and sags in middle, many of the chairs sag, place is dusty and needs thorough cleaning and new paint job, as well as weeding out of kitchen drawers and cupboards. (It's not that the place is dirty, it's just that there is too much stuff in it, much of it old and not in the best condition. It's a bit like living in a used furniture shop; just the far side of eclectic.)
—Located up a steep Amsterdamesque staircase with no landing outside door. Not a good option for anyone with mobility or vertigo issues.
—If you plan to use sofa bed, ask Ann to bring an air mattress. She provided that for us, which was much appreciated.
—Cost a bit high for condition.

Having said that, I would probably stay there again as I found it overall comfortable and very convenient.","Mission Hill"
"28635","Jazz is an absolute star and her apartment is the perfect location from which to explore Boston. My wife and I stayed with Jazz for five nights and couldn't have hoped for a better experience. Jazz's place is super cool, clean, tidy and she thinks of everything: from great breakfasts of fruit, cake, eggs, muffins and more, to fresh towels each day. She gave us some superb recommendations of things to do, places to visit and restaurants and bars to check out, and was really hospitable and friendly host. Next time we're in Boston, we're definitely staying with Jazz again.  ","Leather District"
"28704","Jazz oli erittäin miellyttävä emäntä. Asunto oli puhdas ja modernisti sisustettu. Sänky oli hyvä. Asunnon sijainti oli erinomainen ja joka paikkaan pääsi kävellen. Voin täysin suositella.","Leather District"
"15785.1","We hesitated a lot before writing this comment because we fand Sean really nice and kind: we met him upon our arrival as he was finishing preparing our flat. The bed sheets and towels have been changed. The first impression of the flat was that we have been trapped!!!
The appartment is definitly is a very bad shape and shall be completly refurbished: questionnable electrical installation (cables repaired with band,...), broken stores, ceiling in the bathroom almost falling down, ventilator in the bathroom also broken. The bed was even funny : the feet are composed of 2 superimposed shoe pairs on one side and a rechargeable battery on the other (!). But okay, what do you expect for this price ? This was indeed not was shocked us with this flat.
The worst part was the dirt. And even for such a price you can expect the flat to be cleaned !!! The floor was full of dust and of hairs (different sizes and colors so it was probably not only from the former guest unless they've lived with 5 people here).
The bathroom was covered with moisture, the electrical plate and the oven were black with dirt, the fridge had brown motives made of a fluid which one fell on it, the walls and the doors were covered with traces of liquid which made flowing motives when drying. We tried to clean the dust from the table to check if it had just not been cleaned for one or two days: it was actually fixed by months or years of quiet sedimentation...
Clear NO GO, even for the price!","Mission Hill"
"10129.1","THIS place was TERRIBLE and DOES not meet minimum cleanliness standards.

Joshua was not upfront that there are 5 other people leaving in that APT. Also he did not tell me that he does not live there any more. Basically he was subletting the place and I was not informed of this. 

The place is really Dark and very badly maintained by these 2o year old college kids. There was one bathroom used by all the five 5 roommates and it was nasty as hell. The other bathroom was on a different floor and the plumbing was broken. The bathrooms were not cleaned for months, as I could see rolls or used toilet paper and empty shampoo bottles with sticky floor. 

Since Joshua doe not live there and was a surprise for me, I was not comfortable staying with these people, and compete for the nastiest bathroom. I tried tried taking the shower and the water would not drain and my whole body started itching for the whole day with red rashes. 

I basically vacated the place without staying for a night, even though I reserved for 2 weeks.

I do not recommend this place for any one as this does not meet the cleanness standards or a place you would have to pay so much. Description does not meet what I say there.

Worst part the kitchen and the washing room were so dark and nasty with lots of Trash from almost 3 months lying all over the APT. I could even smell POT all over the place. There were cigarette buds 100's of them all over the APT, bathroom, kitchen etc.
","Mission Hill"
